fid,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,length,start_node,end_node
3624,"383225760",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.639862289877,"-80.4264624,37.2203086","-80.4263935,37.2202167"
3625,"383225760",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.639862289877,"-80.4263935,37.2202167","-80.4257936,37.2193627"
3626,"383225760",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.639862289877,"-80.4257936,37.2193627","-80.4256619,37.2191821"
3627,"383225760",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.639862289877,"-80.4256619,37.2191821","-80.4254064,37.2188233"
3628,"383225761",,footway,,,,,,0,"""bicycle""=>""yes"",""crossing""=>""uncontrolled"",""crossing:island""=>""no"",""crossing:markings""=>""zebra"",""crossing:signals""=>""no"",""foot""=>""yes"",""footway""=>""crossing"",""lit""=>""yes"",""surface""=>""asphalt""",14.8048996771413,"-80.4264139,37.2203825","-80.4265778,37.2203577"
3629,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.4292871,37.2240969","-80.4290415,37.2238935"
3630,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.4290415,37.2238935","-80.4289281,37.2237691"
3631,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.4289281,37.2237691","-80.4288641,37.2236529"
3632,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.4288641,37.2236529","-80.4285964,37.2228782"
3633,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.4285964,37.2228782","-80.428387,37.2225299"
3634,"383225762",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",230.301380237075,"-80.428387,37.2225299","-80.4281497,37.2222709"
3635,"383353041",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.652312829101,"-80.4254064,37.2188233","-80.424995,37.2182477"
3636,"383353041",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",189.652312829101,"-80.424995,37.2182477","-80.4243351,37.2173448"
3637,"383458213",Duck Pond Drive,tertiary,,,,,,4,"""bburg:id""=>""429;429;693;598;777;789;893"",""bburg:maint""=>""State"",""bburg:name""=>""DUCKPOND"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""no"",""surface""=>""asphalt""",48.1216355289348,"-80.4241404,37.2171036","-80.4237952,37.2167698"
3638,"383458218",Southgate Drive,secondary,,,,,,6,"""bburg:dataset""=>""rcl"",""bburg:id""=>""2;2;540;595;602;332;619;600"",""bburg:maint""=>""Blacksburg;Blacksburg;State"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""SOUTHGATE"",""bburg:type""=>""DR"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""ref""=>""VA 314"",""sidewalk:left""=>""no"",""sidewalk:right""=>""separate"",""surface""=>""asphalt""",179.513065176331,"-80.4222434,37.2166627","-80.4202919,37.2170875"
3639,"383920674",Kent Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""825;859;895;915"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""KENT"",""bburg:type""=>""ST"",""cycleway:left""=>""shared_lane"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""15 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",18.5909322617057,"-80.4191497,37.2279226","-80.4192876,37.2280487"
3640,"383920675",Kent Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""825;859;895;915"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""KENT"",""bburg:type""=>""ST"",""cycleway:left""=>""shared_lane"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",74.1928929219489,"-80.4179626,37.2276755","-80.4180865,37.2276845"
3641,"383920675",Kent Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""825;859;895;915"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""KENT"",""bburg:type""=>""ST"",""cycleway:left""=>""shared_lane"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",74.1928929219489,"-80.4180865,37.2276845","-80.4181896,37.2276856"
3642,"383920675",Kent Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""825;859;895;915"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""KENT"",""bburg:type""=>""ST"",""cycleway:left""=>""shared_lane"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",74.1928929219489,"-80.4181896,37.2276856","-80.4183989,37.2276753"
